    21425125	0.006549
      428333	0.004957
    19058681	0.004491
    15846407	0.004169
      759251	0.003952
      783214	0.003258
    16409683	0.003191
   169686021	0.003189
    15485441	0.002955
    25365536	0.002906
    19329393	0.002876
    16190898	0.002772
    50393960	0.002733
    28706024	0.002575
    77888423	0.002557
    99008565	0.002542
    18220175	0.002520
      807095	0.002458
     9252212	0.002455
    14075928	0.002217
    23375688	0.002209
    14872237	0.002093
      972651	0.002060
    19554706	0.002043
    24929621	0.002021
    35787166	0.001994
     6017542	0.001982
    18297088	0.001861
     3004231	0.001816
    19877186	0.001801
