   219060143	0.095163
   219171140	0.089161
   219159477	0.062210
   219456859	0.049024
   218909828	0.040761
   219135826	0.037785
   219127113	0.035961
   219165497	0.028290
   219144352	0.027204
   219312827	0.024214
   219308382	0.018493
   218759341	0.017912
   219332168	0.017701
   218981255	0.016520
   219137757	0.015831
   219079665	0.015695
   219435997	0.015587
   218908034	0.013892
   219452271	0.013391
   218961133	0.013373
   218993207	0.013049
   218922004	0.012509
   219233092	0.011251
   219210261	0.010942
   218956287	0.007677
   219376000	0.007161
   219405134	0.006239
   219078215	0.005853
   219045001	0.005848
   218996316	0.005661
